contract_id,condition,ground_truth,clash_type,queries,passed,failed,no_triples,errors
001,ovrag,CLEAN,,5,5,0,0,0
001,plain,CLEAN,,5,0,0,5,0
010,ovrag,CLEAN,,5,3,2,0,0
010,plain,CLEAN,,5,0,0,5,0
020,ovrag,CLEAN,,5,5,0,0,0
020,plain,CLEAN,,5,0,0,5,0
030,ovrag,CLEAN,,5,4,1,0,0
030,plain,CLEAN,,5,0,0,5,0
040,ovrag,CLEAN,,5,4,1,0,0
040,plain,CLEAN,,5,0,0,5,0
050,ovrag,CLEAN,,5,5,0,0,0
050,plain,CLEAN,,5,0,0,5,0
061,ovrag,CLASH,secured_unsecured,5,5,0,0,0
061,plain,CLASH,secured_unsecured,5,0,0,5,0
065,ovrag,CLASH,secured_unsecured,5,5,0,0,0
065,plain,CLASH,secured_unsecured,5,0,0,5,0
076,ovrag,CLASH,openend_closedend,5,5,0,0,0
076,plain,CLASH,openend_closedend,5,0,0,5,0
091,ovrag,CLASH,borrower_type,5,5,0,0,0
091,plain,CLASH,borrower_type,5,0,0,5,0
