contract_id,condition,question_id,question_target,ground_truth,expect_clash,clash_type,validation_passed,total_attempts,hard_reject,hard_reject_reason,accepted_at_attempt,error,rouge_l,bertscore_precision,bertscore_recall,bertscore_f1,latency_rag,latency_extraction,latency_validation,latency_total
001,ovrag,Q1,Loan type classification,CLEAN,False,,True,1,False,,0,,0.625,0.9263,0.933,0.9296,0.9957671165466309,4.100250720977783,0.9691469669342041,6.065316915512085
001,ovrag,Q2,Party classification,CLEAN,False,,True,1,False,,0,,0.6111,0.9448,0.929,0.9368,1.3034641742706299,5.2161760330200195,0.9564409255981445,7.476192951202393
001,ovrag,Q3,SecuredLoan / UnsecuredLoan disjointness,CLEAN,False,,True,2,False,,1,,0.5882,0.9655,0.9662,0.9659,1.8547468185424805,4.53351616859436,1.436622142791748,7.824987173080444
001,ovrag,Q4,OpenEndCredit / ClosedEndCredit disjointness,CLEAN,False,,True,1,False,,0,,0.4615,0.8893,0.9438,0.9157,1.2855679988861084,4.95693564414978,0.882331132888794,7.124932289123535
001,ovrag,Q5,Comprehensive extraction,CLEAN,False,,True,1,False,,0,,0.561,0.855,0.9396,0.8953,2.0011420249938965,5.4018471240997314,0.9021732807159424,8.305235147476196
010,ovrag,Q1,Loan type classification,CLEAN,False,,False,4,True,"Answer failed ontology validation after 3 correction attempt(s). Last failure: LOGICAL INCONSISTENCY DETECTED
============================================================

The following assertions violate FIBO ontology constraints:

1. TheLoan1 (Loan) rdf:type SecuredLoan (Class)
2. TheLoan1 (Loan) rdf:type ClosedEndMortgageLoan (Class)
3. TheLoan1 (Loan) hasCollateral Property (Collateral)
4. Citibank (Entity) rdf:type FinancialInstitution (Class)
5. Thomas Brown (Entity) rdf:type NaturalPerson (Class)
6. TheLoan2 (Loan) rdf:type UnsecuredLoan (Class)
7. TheLoan2 (Loan) rdf:type CommercialLoan (Class)
8. First National Bank (Entity) rdf:type FinancialInstitution (Class)
9. TechStart Inc. (Entity) rdf:type Corporation (Class)
10. TheLoan (Loan) rdf:type SecuredLoan (Class)
11. TheLoan (Loan) rdf:type Mortgage (Class)
12. TheLoan (Loan) hasLender Citibank (Lender)
13. TheLoan (Loan) hasBorrower Thomas Brown (Borrower)
14. TheLoan (Loan) hasLoanAmount USD 277,000.00 (Amount)
15. TheLoan (Loan) hasInterestRate 4.9% (Rate)
16. TheLoan (Loan) hasMaturityDate November 14, 2043 (Date)
17. TheLoan (Loan) hasCollateral First lien on property at 369 Walnut Way, Boston, MA 02101 (Collateral)
18. TheLoan (Loan) rdf:type UnsecuredLoan (Class)
19. TheLoan (Loan) rdf:type CommercialLoan (Class)
20. TheLoan (Loan) hasLender First National Bank (Lender)
21. TheLoan (Loan) hasBorrower TechStart Inc. (Borrower)
22. TheLoan (Loan) hasLoanAmount USD 962,000.00 (Amount)
23. TheLoan (Loan) hasInterestRate 2.6% (Rate)
24. TheLoan (Loan) hasMaturityDate December 22, 2030 (Date)

Possible violations:
• Disjointness: Entity cannot belong to disjoint classes
• Cardinality: Property exceeds allowed number of values
• Irreflexivity: Entity cannot have relation to itself
• Domain/Range: Property applied to incompatible entity types

Reasoner output: Java error message is: Feb 16, 2026 11:42:28 PM org.mindswap.pellet.jena.graph.loader.DefaultGraphLoader addUnsupportedFeature
WARNING: Unsupported axiom: Ignoring triple with unknown property from OWL namespace: https://spec.edmcouncil.org/fibo/ontology/LOAN/RealEstateLoans/Mortgages @owl:versionIRI https://spec.edmcouncil.org/fibo/ontology/master/latest/LOAN/RealEstateLoans/Mortgages
Feb 16, 2026 11:42:28 PM org.mindswap.pellet.jena.graph.loader.DefaultGraphLoader addUnsupportedFeature
WARNING: Unsupported axiom: Ignoring triple with unknown property from OWL namespace: https://spec.edmcouncil.org/fibo/ontology/LOAN/LoansSpecific/CommercialLoans @owl:versionIRI https://spec.edmcouncil.org/fibo/ontology/master/latest/LOAN/LoansSpecific/CommercialLoans
Feb 16, 2026 11:42:28 PM org.mindswap.pellet.jena.graph.loader.DefaultGraphLoader addUnsupportedFeature
WARNING: Unsupported axiom: Ignoring triple with unknown property from OWL namespace: https://spec.edmcouncil.org/fibo/ontology/LOAN/LoansSpecific/ConsumerLoans @owl:versionIRI https://spec.edmcouncil.org/fibo/ontology/master/latest/LOAN/LoansSpecific/ConsumerLoans
Feb 16, 2026 11:42:28 PM org.mindswap.pellet.jena.graph.loader.DefaultGraphLoader addUnsupportedFeature
WARNING: Unsupported axiom: Ignoring triple with unknown property from OWL namespace: https://spec.edmcouncil.org/fibo/ontology/LOAN/LoansSpecific/CardAccounts @owl:versionIRI https://spec.edmcouncil.org/fibo/ontology/master/latest/LOAN/LoansSpecific/CardAccounts
Feb 16, 2026 11:42:28 PM org.mindswap.pellet.jena.graph.loader.DefaultGraphLoader addUnsupportedFeature
WARNING: Unsupported axiom: Ignoring triple with unknown property from OWL namespace: https://spec.edmcouncil.org/fibo/ontology/LOAN/LoansSpecific/StudentLoans @owl:versionIRI https://spec.edmcouncil.org/fibo/ontology/master/latest/LOAN/LoansSpecific/StudentLoans
Feb 16, 2026 11:42:28 PM org.mindswap.pellet.jena.graph.loader.DefaultGraphLoader addUnsupportedFeature
WARNING: Unsupported axiom: Ignoring triple with unknown property from OWL namespace: https://spec.edmcouncil.org/fibo/ontology/LOAN/LoansGeneral/Loans @owl:versionIRI https://spec.edmcouncil.org/fibo/ontology/master/latest/LOAN/LoansGeneral/Loans
Feb 16, 2026 11:42:28 PM org.mindswap.pellet.jena.graph.loader.DefaultGraphLoader addUnsupportedFeature
WARNING: Unsupported axiom: Ignoring triple with unknown property from OWL namespace: https://spec.edmcouncil.org/fibo/ontology/LOAN/LoansSpecific/GreenLoans @owl:versionIRI https://spec.edmcouncil.org/fibo/ontology/master/latest/LOAN/LoansSpecific/GreenLoans
ERROR: Ontology is inconsistent, run ""pellet explain"" to get the reason
",,,0.069,0.8078,0.8903,0.847,9.99966812133789,21.274338245391846,2.7049458026885986,33.97943186759949
010,ovrag,Q2,Party classification,CLEAN,False,,False,4,True,"Answer failed ontology validation after 3 correction attempt(s). Last failure: LOGICAL INCONSISTENCY DETECTED
============================================================

The following assertions violate FIBO ontology constraints:

1. LA-2025-010 (Loan) rdf:type SecuredLoan (Class)
2. Thomas Brown (Entity) rdf:type NaturalPerson (Class)
3. Citibank (Entity) rdf:type FinancialInstitution (Class)
4. LA-2025-010 (Loan) hasCollateral FirstLienOnPropertyAt369WalnutWayBostonMA (Collateral)
5. LA-2025-001 (Loan) rdf:type UnsecuredLoan (Class)
6. TechStart Inc. (Entity) rdf:type Corporation (Class)
7. First National Bank (Entity) rdf:type FinancialInstitution (Class)
8. TheLoan (Loan) rdf:type SecuredLoan (Class)
9. TheLoan (Loan) rdf:type Mortgage (Class)
10. TheLoan (Loan) hasLender Citibank (Lender)
11. TheLoan (Loan) hasBorrower Thomas Brown (Borrower)
12. TheLoan (Loan) hasLoanAmount USD 277,000.00 (Literal)
13. TheLoan (Loan) hasInterestRate 4.9% (Literal)
14. TheLoan (Loan) hasMaturityDate November 14, 2043 (Literal)
15. TheLoan (Loan) hasCollateral First lien on property at 369 Walnut Way, Boston, MA 02101 (Literal)
16. TheLoan (Loan) rdf:type UnsecuredLoan (Class)
17. TheLoan (Loan) rdf:type CommercialLoan (Class)
18. TheLoan (Loan) hasLender First National Bank (Lender)
19. TheLoan (Loan) hasBorrower TechStart Inc. (Borrower)
20. TheLoan (Loan) hasLoanAmount USD 962,000.00 (Literal)
21. TheLoan (Loan) hasInterestRate 2.6% (Literal)
22. TheLoan (Loan) hasMaturityDate December 22, 2030 (Literal)

Possible violations:
• Disjointness: Entity cannot belong to disjoint classes
• Cardinality: Property exceeds allowed number of values
• Irreflexivity: Entity cannot have relation to itself
• Domain/Range: Property applied to incompatible entity types

Reasoner output: Java error message is: Feb 16, 2026 11:43:03 PM org.mindswap.pellet.jena.graph.loader.DefaultGraphLoader addUnsupportedFeature
WARNING: Unsupported axiom: Ignoring triple with unknown property from OWL namespace: https://spec.edmcouncil.org/fibo/ontology/LOAN/RealEstateLoans/Mortgages @owl:versionIRI https://spec.edmcouncil.org/fibo/ontology/master/latest/LOAN/RealEstateLoans/Mortgages
Feb 16, 2026 11:43:03 PM org.mindswap.pellet.jena.graph.loader.DefaultGraphLoader addUnsupportedFeature
WARNING: Unsupported axiom: Ignoring triple with unknown property from OWL namespace: https://spec.edmcouncil.org/fibo/ontology/LOAN/LoansSpecific/CommercialLoans @owl:versionIRI https://spec.edmcouncil.org/fibo/ontology/master/latest/LOAN/LoansSpecific/CommercialLoans
Feb 16, 2026 11:43:03 PM org.mindswap.pellet.jena.graph.loader.DefaultGraphLoader addUnsupportedFeature
WARNING: Unsupported axiom: Ignoring triple with unknown property from OWL namespace: https://spec.edmcouncil.org/fibo/ontology/LOAN/LoansSpecific/ConsumerLoans @owl:versionIRI https://spec.edmcouncil.org/fibo/ontology/master/latest/LOAN/LoansSpecific/ConsumerLoans
Feb 16, 2026 11:43:03 PM org.mindswap.pellet.jena.graph.loader.DefaultGraphLoader addUnsupportedFeature
WARNING: Unsupported axiom: Ignoring triple with unknown property from OWL namespace: https://spec.edmcouncil.org/fibo/ontology/LOAN/LoansSpecific/CardAccounts @owl:versionIRI https://spec.edmcouncil.org/fibo/ontology/master/latest/LOAN/LoansSpecific/CardAccounts
Feb 16, 2026 11:43:03 PM org.mindswap.pellet.jena.graph.loader.DefaultGraphLoader addUnsupportedFeature
WARNING: Unsupported axiom: Ignoring triple with unknown property from OWL namespace: https://spec.edmcouncil.org/fibo/ontology/LOAN/LoansSpecific/StudentLoans @owl:versionIRI https://spec.edmcouncil.org/fibo/ontology/master/latest/LOAN/LoansSpecific/StudentLoans
Feb 16, 2026 11:43:03 PM org.mindswap.pellet.jena.graph.loader.DefaultGraphLoader addUnsupportedFeature
WARNING: Unsupported axiom: Ignoring triple with unknown property from OWL namespace: https://spec.edmcouncil.org/fibo/ontology/LOAN/LoansGeneral/Loans @owl:versionIRI https://spec.edmcouncil.org/fibo/ontology/master/latest/LOAN/LoansGeneral/Loans
Feb 16, 2026 11:43:03 PM org.mindswap.pellet.jena.graph.loader.DefaultGraphLoader addUnsupportedFeature
WARNING: Unsupported axiom: Ignoring triple with unknown property from OWL namespace: https://spec.edmcouncil.org/fibo/ontology/LOAN/LoansSpecific/GreenLoans @owl:versionIRI https://spec.edmcouncil.org/fibo/ontology/master/latest/LOAN/LoansSpecific/GreenLoans
ERROR: Ontology is inconsistent, run ""pellet explain"" to get the reason
",,,0.2308,0.8275,0.9197,0.8712,8.04463815689087,16.714977502822876,2.606642961502075,27.366791009902954
010,ovrag,Q3,SecuredLoan / UnsecuredLoan disjointness,CLEAN,False,,True,1,False,,0,,0.8,0.973,0.9783,0.9756,1.1648547649383545,7.449591875076294,0.8778839111328125,9.49245285987854
010,ovrag,Q4,OpenEndCredit / ClosedEndCredit disjointness,CLEAN,False,,True,1,False,,0,,0.4286,0.8873,0.9427,0.9142,1.7653429508209229,4.4082300662994385,0.8570311069488525,7.030675888061523
010,ovrag,Q5,Comprehensive extraction,CLEAN,False,,True,1,False,,0,,0.4946,0.8543,0.9391,0.8947,1.730639934539795,6.503672361373901,0.8212089538574219,9.055680990219116
