contract_id,condition,ground_truth,clash_type,queries,passed,failed,no_triples,errors
001,ovrag,CLEAN,,5,5,0,0,0
001,plain,CLEAN,,5,0,0,5,0
002,ovrag,CLEAN,,5,4,1,0,0
002,plain,CLEAN,,5,0,0,5,0
003,ovrag,CLEAN,,5,5,0,0,0
003,plain,CLEAN,,5,0,0,5,0
004,ovrag,CLEAN,,5,5,0,0,0
004,plain,CLEAN,,5,0,0,5,0
005,ovrag,CLEAN,,5,3,2,0,0
005,plain,CLEAN,,5,0,0,5,0
006,ovrag,CLEAN,,5,4,1,0,0
006,plain,CLEAN,,5,0,0,5,0
007,ovrag,CLEAN,,5,5,0,0,0
007,plain,CLEAN,,5,0,0,5,0
008,ovrag,CLEAN,,5,5,0,0,0
008,plain,CLEAN,,5,0,0,5,0
009,ovrag,CLEAN,,5,5,0,0,0
009,plain,CLEAN,,5,0,0,5,0
010,ovrag,CLEAN,,5,5,0,0,0
010,plain,CLEAN,,5,0,0,5,0
011,ovrag,CLEAN,,5,5,0,0,0
011,plain,CLEAN,,5,0,0,5,0
012,ovrag,CLEAN,,5,5,0,0,0
012,plain,CLEAN,,5,0,0,5,0
013,ovrag,CLEAN,,5,5,0,0,0
013,plain,CLEAN,,5,0,0,5,0
014,ovrag,CLEAN,,5,5,0,0,0
014,plain,CLEAN,,5,0,0,5,0
015,ovrag,CLEAN,,5,5,0,0,0
015,plain,CLEAN,,5,0,0,5,0
016,ovrag,CLEAN,,5,5,0,0,0
016,plain,CLEAN,,5,0,0,5,0
017,ovrag,CLEAN,,5,5,0,0,0
017,plain,CLEAN,,5,0,0,5,0
018,ovrag,CLEAN,,5,5,0,0,0
018,plain,CLEAN,,5,0,0,5,0
019,ovrag,CLEAN,,5,5,0,0,0
019,plain,CLEAN,,5,0,0,5,0
020,ovrag,CLEAN,,5,5,0,0,0
020,plain,CLEAN,,5,0,0,5,0
021,ovrag,CLEAN,,5,5,0,0,0
021,plain,CLEAN,,5,0,0,5,0
022,ovrag,CLEAN,,5,5,0,0,0
022,plain,CLEAN,,5,0,0,5,0
023,ovrag,CLEAN,,5,5,0,0,0
023,plain,CLEAN,,5,0,0,5,0
024,ovrag,CLEAN,,5,5,0,0,0
024,plain,CLEAN,,5,0,0,5,0
025,ovrag,CLEAN,,5,5,0,0,0
025,plain,CLEAN,,5,0,0,5,0
026,ovrag,CLEAN,,5,5,0,0,0
026,plain,CLEAN,,5,0,0,5,0
027,ovrag,CLEAN,,5,5,0,0,0
027,plain,CLEAN,,5,0,0,5,0
028,ovrag,CLEAN,,5,5,0,0,0
028,plain,CLEAN,,5,0,0,5,0
029,ovrag,CLEAN,,5,5,0,0,0
029,plain,CLEAN,,5,0,0,5,0
030,ovrag,CLEAN,,5,5,0,0,0
030,plain,CLEAN,,5,0,0,5,0
031,ovrag,CLEAN,,5,5,0,0,0
031,plain,CLEAN,,5,0,0,5,0
032,ovrag,CLEAN,,5,5,0,0,0
032,plain,CLEAN,,5,0,0,5,0
033,ovrag,CLEAN,,5,5,0,0,0
033,plain,CLEAN,,5,0,0,5,0
034,ovrag,CLEAN,,5,5,0,0,0
034,plain,CLEAN,,5,0,0,5,0
035,ovrag,CLEAN,,5,5,0,0,0
035,plain,CLEAN,,5,0,0,5,0
036,ovrag,CLEAN,,5,5,0,0,0
036,plain,CLEAN,,5,0,0,5,0
037,ovrag,CLEAN,,5,5,0,0,0
037,plain,CLEAN,,5,0,0,5,0
038,ovrag,CLEAN,,5,5,0,0,0
038,plain,CLEAN,,5,0,0,5,2
039,ovrag,CLEAN,,5,0,0,5,5
039,plain,CLEAN,,5,0,0,5,3
040,ovrag,CLEAN,,5,5,0,0,0
040,plain,CLEAN,,5,0,0,5,0
041,ovrag,CLEAN,,5,5,0,0,0
041,plain,CLEAN,,5,0,0,5,0
042,ovrag,CLEAN,,5,5,0,0,0
042,plain,CLEAN,,5,0,0,5,0
043,ovrag,CLEAN,,5,5,0,0,0
043,plain,CLEAN,,5,0,0,5,0
044,ovrag,CLEAN,,5,5,0,0,0
044,plain,CLEAN,,5,0,0,5,0
045,ovrag,CLEAN,,5,5,0,0,0
045,plain,CLEAN,,5,0,0,5,0
046,ovrag,CLEAN,,5,5,0,0,0
046,plain,CLEAN,,5,0,0,5,0
047,ovrag,CLEAN,,5,5,0,0,0
047,plain,CLEAN,,5,0,0,5,0
048,ovrag,CLEAN,,5,5,0,0,0
048,plain,CLEAN,,5,0,0,5,0
049,ovrag,CLEAN,,5,5,0,0,0
049,plain,CLEAN,,5,0,0,5,0
050,ovrag,CLEAN,,5,5,0,0,0
050,plain,CLEAN,,5,0,0,5,0
051,ovrag,CLEAN,,5,5,0,0,0
051,plain,CLEAN,,5,0,0,5,0
052,ovrag,CLEAN,,5,5,0,0,0
052,plain,CLEAN,,5,0,0,5,0
053,ovrag,CLEAN,,5,5,0,0,0
053,plain,CLEAN,,5,0,0,5,0
054,ovrag,CLEAN,,5,5,0,0,0
054,plain,CLEAN,,5,0,0,5,0
055,ovrag,CLEAN,,5,5,0,0,0
055,plain,CLEAN,,5,0,0,5,0
056,ovrag,CLEAN,,5,5,0,0,0
056,plain,CLEAN,,5,0,0,5,0
057,ovrag,CLEAN,,5,5,0,0,0
057,plain,CLEAN,,5,0,0,5,0
058,ovrag,CLEAN,,5,5,0,0,0
058,plain,CLEAN,,5,0,0,5,0
059,ovrag,CLEAN,,5,5,0,0,0
059,plain,CLEAN,,5,0,0,5,0
060,ovrag,CLEAN,,5,5,0,0,0
060,plain,CLEAN,,5,0,0,5,0
061,ovrag,CLASH,secured_unsecured,5,5,0,0,0
061,plain,CLASH,secured_unsecured,5,0,0,5,0
062,ovrag,CLASH,secured_unsecured,5,5,0,0,0
062,plain,CLASH,secured_unsecured,5,0,0,5,0
063,ovrag,CLASH,secured_unsecured,5,5,0,0,0
063,plain,CLASH,secured_unsecured,5,0,0,5,0
064,ovrag,CLASH,secured_unsecured,5,5,0,0,0
064,plain,CLASH,secured_unsecured,5,0,0,5,0
065,ovrag,CLASH,secured_unsecured,5,5,0,0,0
065,plain,CLASH,secured_unsecured,5,0,0,5,0
066,ovrag,CLASH,secured_unsecured,5,5,0,0,0
066,plain,CLASH,secured_unsecured,5,0,0,5,0
067,ovrag,CLASH,secured_unsecured,5,5,0,0,0
067,plain,CLASH,secured_unsecured,5,0,0,5,0
068,ovrag,CLASH,secured_unsecured,5,0,5,0,0
068,plain,CLASH,secured_unsecured,5,0,0,5,0
069,ovrag,CLASH,secured_unsecured,5,3,2,0,0
069,plain,CLASH,secured_unsecured,5,0,0,5,0
070,ovrag,CLASH,secured_unsecured,5,0,5,0,0
070,plain,CLASH,secured_unsecured,5,0,0,5,0
071,ovrag,CLASH,secured_unsecured,5,0,4,1,0
071,plain,CLASH,secured_unsecured,5,0,0,5,0
072,ovrag,CLASH,secured_unsecured,5,0,5,0,0
072,plain,CLASH,secured_unsecured,5,0,0,5,0
073,ovrag,CLASH,secured_unsecured,5,0,5,0,0
073,plain,CLASH,secured_unsecured,5,0,0,5,0
074,ovrag,CLASH,secured_unsecured,5,0,5,0,0
074,plain,CLASH,secured_unsecured,5,0,0,5,0
075,ovrag,CLASH,secured_unsecured,5,0,5,0,0
075,plain,CLASH,secured_unsecured,5,0,0,5,0
076,ovrag,CLASH,openend_closedend,5,1,4,0,0
076,plain,CLASH,openend_closedend,5,0,0,5,0
077,ovrag,CLASH,openend_closedend,5,2,3,0,0
077,plain,CLASH,openend_closedend,5,0,0,5,0
078,ovrag,CLASH,openend_closedend,5,2,3,0,0
078,plain,CLASH,openend_closedend,5,0,0,5,0
079,ovrag,CLASH,openend_closedend,5,3,2,0,0
079,plain,CLASH,openend_closedend,5,0,0,5,0
080,ovrag,CLASH,openend_closedend,5,1,4,0,0
080,plain,CLASH,openend_closedend,5,0,0,5,0
081,ovrag,CLASH,openend_closedend,5,1,4,0,0
081,plain,CLASH,openend_closedend,5,0,0,5,0
082,ovrag,CLASH,openend_closedend,5,3,2,0,0
082,plain,CLASH,openend_closedend,5,0,0,5,0
083,ovrag,CLASH,openend_closedend,5,2,3,0,0
083,plain,CLASH,openend_closedend,5,0,0,5,0
084,ovrag,CLASH,openend_closedend,5,2,3,0,0
084,plain,CLASH,openend_closedend,5,0,0,5,0
085,ovrag,CLASH,openend_closedend,5,2,3,0,0
085,plain,CLASH,openend_closedend,5,0,0,5,0
086,ovrag,CLASH,openend_closedend,5,3,2,0,0
086,plain,CLASH,openend_closedend,5,0,0,5,0
087,ovrag,CLASH,openend_closedend,5,3,2,0,0
087,plain,CLASH,openend_closedend,5,0,0,5,0
088,ovrag,CLASH,openend_closedend,5,3,2,0,0
088,plain,CLASH,openend_closedend,5,0,0,5,0
089,ovrag,CLASH,openend_closedend,5,2,3,0,0
089,plain,CLASH,openend_closedend,5,0,0,5,0
090,ovrag,CLASH,openend_closedend,5,2,3,0,0
090,plain,CLASH,openend_closedend,5,0,0,5,0
091,ovrag,CLASH,borrower_type,5,2,3,0,0
091,plain,CLASH,borrower_type,5,0,0,5,0
092,ovrag,CLASH,borrower_type,5,1,4,0,0
092,plain,CLASH,borrower_type,5,0,0,5,0
093,ovrag,CLASH,borrower_type,5,1,4,0,0
093,plain,CLASH,borrower_type,5,0,0,5,0
094,ovrag,CLASH,borrower_type,5,2,3,0,0
094,plain,CLASH,borrower_type,5,0,0,5,0
095,ovrag,CLASH,borrower_type,5,2,3,0,0
095,plain,CLASH,borrower_type,5,0,0,5,0
096,ovrag,CLASH,lender_type,5,1,4,0,0
096,plain,CLASH,lender_type,5,0,0,5,0
097,ovrag,CLASH,lender_type,5,3,2,0,0
097,plain,CLASH,lender_type,5,0,0,5,0
098,ovrag,CLASH,lender_type,5,2,3,0,0
098,plain,CLASH,lender_type,5,0,0,5,0
099,ovrag,CLASH,lender_type,5,3,2,0,0
099,plain,CLASH,lender_type,5,0,0,5,0
100,ovrag,CLASH,lender_type,5,3,2,0,0
100,plain,CLASH,lender_type,5,0,0,5,0
